!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd650f6_1_12!RR_ebx_bfd6508a_ecx_6c!WR_edx_12
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87040_1_72!RR_dl_12_ebp_8d8703c_esi_4!WM_8d87040_1_60
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_4!RR_esp_bfd65048!WM_bfd65048_2_5
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_5!RR_esp_bfd65048!WR_edx_5
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_5_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_5!WR_edx_6
80490ac!movzx edx, dl!RR_dl_6!WR_edx_6
80490af!mov edi, edx!RR_edx_6!WR_edi_6
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_6!WR_edx_bfd65090
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65090_1_d4!RR_edx_bfd65090!WR_ecx_d4
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_59!RR_cl_d4_esp_bfd65048!WM_bfd6504b_1_2d
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_2d!RR_esp_bfd65048!WR_esi_2d
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_2d!WR_esi_bfd650b7
80490c1!movzx eax, byte ptr [esi]!RM_bfd650b7_1_ab!RR_esi_bfd650b7!WR_eax_ab
80490c4!mov byte ptr [edx], al!RR_al_ab_edx_bfd65090!WM_bfd65090_1_ab
80490c6!mov byte ptr [esi], cl!RR_cl_d4_esi_bfd650b7!WM_bfd650b7_1_d4
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_5!RR_esp_bfd65048!WR_esi_5
80490cc!add cl, byte ptr [edx]!RM_bfd65090_1_ab!RR_cl_d4_edx_bfd65090!WR_cl_7f
80490ce!movzx ecx, cl!RR_cl_7f!WR_ecx_7f
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd65109_1_86!RR_ebx_bfd6508a_ecx_7f!WR_edx_86
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87041_1_50!RR_dl_86_ebp_8d8703c_esi_5!WM_8d87041_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_5!RR_esp_bfd65048!WM_bfd65048_2_6
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_6!RR_esp_bfd65048!WR_edx_6
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_6_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_6!WR_edx_7
80490ac!movzx edx, dl!RR_dl_7!WR_edx_7
80490af!mov edi, edx!RR_edx_7!WR_edi_7
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_7!WR_edx_bfd65091
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65091_1_16!RR_edx_bfd65091!WR_ecx_16
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_2d!RR_cl_16_esp_bfd65048!WM_bfd6504b_1_43
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_43!RR_esp_bfd65048!WR_esi_43
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_43!WR_esi_bfd650cd
80490c1!movzx eax, byte ptr [esi]!RM_bfd650cd_1_eb!RR_esi_bfd650cd!WR_eax_eb
80490c4!mov byte ptr [edx], al!RR_al_eb_edx_bfd65091!WM_bfd65091_1_eb
80490c6!mov byte ptr [esi], cl!RR_cl_16_esi_bfd650cd!WM_bfd650cd_1_16
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_6!RR_esp_bfd65048!WR_esi_6
80490cc!add cl, byte ptr [edx]!RM_bfd65091_1_eb!RR_cl_16_edx_bfd65091!WR_cl_1
80490ce!movzx ecx, cl!RR_cl_1!WR_ecx_1
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd6508b_1_61!RR_ebx_bfd6508a_ecx_1!WR_edx_61
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87042_1_6c!RR_dl_61_ebp_8d8703c_esi_6!WM_8d87042_1_d
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_6!RR_esp_bfd65048!WM_bfd65048_2_7
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_7!RR_esp_bfd65048!WR_edx_7
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_7_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_7!WR_edx_8
80490ac!movzx edx, dl!RR_dl_8!WR_edx_8
80490af!mov edi, edx!RR_edx_8!WR_edi_8
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_8!WR_edx_bfd65092
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65092_1_a5!RR_edx_bfd65092!WR_ecx_a5
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_43!RR_cl_a5_esp_bfd65048!WM_bfd6504b_1_e8
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_e8!RR_esp_bfd65048!WR_esi_e8
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_e8!WR_esi_bfd65172
80490c1!movzx eax, byte ptr [esi]!RM_bfd65172_1_bd!RR_esi_bfd65172!WR_eax_bd
80490c4!mov byte ptr [edx], al!RR_al_bd_edx_bfd65092!WM_bfd65092_1_bd
80490c6!mov byte ptr [esi], cl!RR_cl_a5_esi_bfd65172!WM_bfd65172_1_a5
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_7!RR_esp_bfd65048!WR_esi_7
80490cc!add cl, byte ptr [edx]!RM_bfd65092_1_bd!RR_cl_a5_edx_bfd65092!WR_cl_62
80490ce!movzx ecx, cl!RR_cl_62!WR_ecx_62
