!SOT
80487b1!add edx, ecx!RR_ecx_abb1d00d_edx_4e11503c!WR_edx_f9c32049
80487b3!xor edx, eax!RR_eax_99cabfb3_edx_f9c32049!WR_edx_60099ffa
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_abb1d00d!RR_ebp_bf89a4a8!WR_eax_abb1d00d
80487b8!shr eax, 0x5!RR_eax_abb1d00d!WR_eax_55d8e80
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_55d8e80_ebp_bf89a4a8!WR_eax_e40b4d64
80487be!xor eax, edx!RR_eax_e40b4d64_edx_60099ffa!WR_eax_8402d29e
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_9260bfa3!RR_eax_8402d29e_ebp_bf89a4a8!WM_bf89a488_4_e5ded05
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_e5ded05!RR_ebp_bf89a4a8!WR_eax_e5ded05
80487c6!shl eax, 0x4!RR_eax_e5ded05!WR_eax_e5ded050
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_e5ded050_ebp_bf89a4a8!WR_eax_c48c8f31
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_4e11503c!RR_ebp_bf89a4a8!WR_edx_4e11503c
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_e5ded05!RR_ebp_bf89a4a8!WR_ecx_e5ded05
80487d2!add edx, ecx!RR_ecx_e5ded05_edx_4e11503c!WR_edx_5c6f3d41
80487d4!xor edx, eax!RR_eax_c48c8f31_edx_5c6f3d41!WR_edx_98e3b270
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_e5ded05!RR_ebp_bf89a4a8!WR_eax_e5ded05
80487d9!shr eax, 0x5!RR_eax_e5ded05!WR_eax_72ef68
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_72ef68_ebp_bf89a4a8!WR_eax_df20ae4a
