!SOT
8049074!push ebp!RR_ebp_bfb1fa18_esp_bfb1f8dc!WM_bfb1f8d8_4_bfb1fa18!WR_esp_bfb1f8d8
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_8!RR_esp_bfb1f8c8!WR_esi_8
80490cc!add cl, byte ptr [edx]!RM_bfb1f913_1_5e!RR_cl_57_edx_bfb1f913!WR_cl_b5
80490ce!movzx ecx, cl!RR_cl_b5!WR_ecx_b5
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f9bf_1_4e!RR_ebx_bfb1f90a_ecx_b5!WR_edx_4e
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23044_1_69!RR_dl_4e_ebp_9a2303c_esi_8!WM_9a23044_1_27
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_8!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_9
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_9!RR_esp_bfb1f8c8!WR_edx_9
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_9_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_9!WR_edx_a
80490ac!movzx edx, dl!RR_dl_a!WR_edx_a
80490af!mov edi, edx!RR_edx_a!WR_edi_a
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_a!WR_edx_bfb1f914
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f914_1_92!RR_edx_bfb1f914!WR_ecx_92
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_3f!RR_cl_92_esp_bfb1f8c8!WM_bfb1f8cb_1_d1
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_d1!RR_esp_bfb1f8c8!WR_esi_d1
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_d1!WR_esi_bfb1f9db
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f9db_1_88!RR_esi_bfb1f9db!WR_eax_88
80490c4!mov byte ptr [edx], al!RR_al_88_edx_bfb1f914!WM_bfb1f914_1_88
80490c6!mov byte ptr [esi], cl!RR_cl_92_esi_bfb1f9db!WM_bfb1f9db_1_92
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_9!RR_esp_bfb1f8c8!WR_esi_9
80490cc!add cl, byte ptr [edx]!RM_bfb1f914_1_88!RR_cl_92_edx_bfb1f914!WR_cl_1a
80490ce!movzx ecx, cl!RR_cl_1a!WR_ecx_1a
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f924_1_b8!RR_ebx_bfb1f90a_ecx_1a!WR_edx_b8
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23045_1_6e!RR_dl_b8_ebp_9a2303c_esi_9!WM_9a23045_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_9!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_a
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_a!RR_esp_bfb1f8c8!WR_edx_a
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_a_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_a!WR_edx_b
80490ac!movzx edx, dl!RR_dl_b!WR_edx_b
80490af!mov edi, edx!RR_edx_b!WR_edi_b
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_b!WR_edx_bfb1f915
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f915_1_a7!RR_edx_bfb1f915!WR_ecx_a7
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_d1!RR_cl_a7_esp_bfb1f8c8!WM_bfb1f8cb_1_78
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_78!RR_esp_bfb1f8c8!WR_esi_78
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_78!WR_esi_bfb1f982
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f982_1_d7!RR_esi_bfb1f982!WR_eax_d7
80490c4!mov byte ptr [edx], al!RR_al_d7_edx_bfb1f915!WM_bfb1f915_1_d7
80490c6!mov byte ptr [esi], cl!RR_cl_a7_esi_bfb1f982!WM_bfb1f982_1_a7
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_a!RR_esp_bfb1f8c8!WR_esi_a
80490cc!add cl, byte ptr [edx]!RM_bfb1f915_1_d7!RR_cl_a7_edx_bfb1f915!WR_cl_7e
80490ce!movzx ecx, cl!RR_cl_7e!WR_ecx_7e
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f988_1_25!RR_ebx_bfb1f90a_ecx_7e!WR_edx_25
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23046_1_4d!RR_dl_25_ebp_9a2303c_esi_a!WM_9a23046_1_68
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_a!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_b
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_b!RR_esp_bfb1f8c8!WR_edx_b
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_b_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_b!WR_edx_c
80490ac!movzx edx, dl!RR_dl_c!WR_edx_c
80490af!mov edi, edx!RR_edx_c!WR_edi_c
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_c!WR_edx_bfb1f916
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f916_1_a9!RR_edx_bfb1f916!WR_ecx_a9
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_78!RR_cl_a9_esp_bfb1f8c8!WM_bfb1f8cb_1_21
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_21!RR_esp_bfb1f8c8!WR_esi_21
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_21!WR_esi_bfb1f92b
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f92b_1_36!RR_esi_bfb1f92b!WR_eax_36
80490c4!mov byte ptr [edx], al!RR_al_36_edx_bfb1f916!WM_bfb1f916_1_36
80490c6!mov byte ptr [esi], cl!RR_cl_a9_esi_bfb1f92b!WM_bfb1f92b_1_a9
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_b!RR_esp_bfb1f8c8!WR_esi_b
80490cc!add cl, byte ptr [edx]!RM_bfb1f916_1_36!RR_cl_a9_edx_bfb1f916!WR_cl_df
80490ce!movzx ecx, cl!RR_cl_df!WR_ecx_df
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f9e9_1_5!RR_ebx_bfb1f90a_ecx_df!WR_edx_5
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23047_1_65!RR_dl_5_ebp_9a2303c_esi_b!WM_9a23047_1_60
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_b!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_c
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_c!RR_esp_bfb1f8c8!WR_edx_c
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_c_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_c!WR_edx_d
80490ac!movzx edx, dl!RR_dl_d!WR_edx_d
80490af!mov edi, edx!RR_edx_d!WR_edi_d
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_d!WR_edx_bfb1f917
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f917_1_f3!RR_edx_bfb1f917!WR_ecx_f3
