!SOT
804934d!mov byte ptr [edi], cl!RR_cl_57_edi_bfec3c39!WM_bfec3c39_1_57
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_8!RR_esp_bfec3bb8!WR_edi_8
8049353!add cl, byte ptr [edx]!RM_bfec3c03_1_5e!RR_cl_57_edx_bfec3c03!WR_cl_b5
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_8!RR_esp_bfec3bb8!WM_bfec3bb8_2_9
804935a!movzx ecx, cl!RR_cl_b5!WR_ecx_b5
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3caf_1_4e!RR_ebx_bfec3bfa_ecx_b5!WR_edx_4e
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0044_1_69!RR_dl_4e_esi_90b003c_edi_8!WM_90b0044_1_27
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_9!RR_esp_bfec3bb8!WR_edx_9
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_9_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_9!WR_edx_a
8049333!movzx edx, dl!RR_dl_a!WR_edx_a
8049336!mov ebp, edx!RR_edx_a!WR_ebp_a
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_a!WR_edx_bfec3c04
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c04_1_92!RR_edx_bfec3c04!WR_ecx_92
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_3f!RR_cl_92_esp_bfec3bb8!WM_bfec3bbb_1_d1
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_d1!RR_esp_bfec3bb8!WR_edi_d1
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_d1!WR_edi_bfec3ccb
8049348!movzx eax, byte ptr [edi]!RM_bfec3ccb_1_88!RR_edi_bfec3ccb!WR_eax_88
804934b!mov byte ptr [edx], al!RR_al_88_edx_bfec3c04!WM_bfec3c04_1_88
804934d!mov byte ptr [edi], cl!RR_cl_92_edi_bfec3ccb!WM_bfec3ccb_1_92
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_9!RR_esp_bfec3bb8!WR_edi_9
8049353!add cl, byte ptr [edx]!RM_bfec3c04_1_88!RR_cl_92_edx_bfec3c04!WR_cl_1a
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_9!RR_esp_bfec3bb8!WM_bfec3bb8_2_a
804935a!movzx ecx, cl!RR_cl_1a!WR_ecx_1a
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c14_1_b8!RR_ebx_bfec3bfa_ecx_1a!WR_edx_b8
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0045_1_6e!RR_dl_b8_esi_90b003c_edi_9!WM_90b0045_1_d6
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_a!RR_esp_bfec3bb8!WR_edx_a
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_a_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_a!WR_edx_b
8049333!movzx edx, dl!RR_dl_b!WR_edx_b
8049336!mov ebp, edx!RR_edx_b!WR_ebp_b
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_b!WR_edx_bfec3c05
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c05_1_a7!RR_edx_bfec3c05!WR_ecx_a7
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_d1!RR_cl_a7_esp_bfec3bb8!WM_bfec3bbb_1_78
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_78!RR_esp_bfec3bb8!WR_edi_78
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_78!WR_edi_bfec3c72
8049348!movzx eax, byte ptr [edi]!RM_bfec3c72_1_d7!RR_edi_bfec3c72!WR_eax_d7
804934b!mov byte ptr [edx], al!RR_al_d7_edx_bfec3c05!WM_bfec3c05_1_d7
804934d!mov byte ptr [edi], cl!RR_cl_a7_edi_bfec3c72!WM_bfec3c72_1_a7
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_a!RR_esp_bfec3bb8!WR_edi_a
8049353!add cl, byte ptr [edx]!RM_bfec3c05_1_d7!RR_cl_a7_edx_bfec3c05!WR_cl_7e
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_a!RR_esp_bfec3bb8!WM_bfec3bb8_2_b
804935a!movzx ecx, cl!RR_cl_7e!WR_ecx_7e
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c78_1_25!RR_ebx_bfec3bfa_ecx_7e!WR_edx_25
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0046_1_4d!RR_dl_25_esi_90b003c_edi_a!WM_90b0046_1_68
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_b!RR_esp_bfec3bb8!WR_edx_b
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_b_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_b!WR_edx_c
8049333!movzx edx, dl!RR_dl_c!WR_edx_c
8049336!mov ebp, edx!RR_edx_c!WR_ebp_c
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_c!WR_edx_bfec3c06
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c06_1_a9!RR_edx_bfec3c06!WR_ecx_a9
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_78!RR_cl_a9_esp_bfec3bb8!WM_bfec3bbb_1_21
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_21!RR_esp_bfec3bb8!WR_edi_21
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_21!WR_edi_bfec3c1b
8049348!movzx eax, byte ptr [edi]!RM_bfec3c1b_1_36!RR_edi_bfec3c1b!WR_eax_36
804934b!mov byte ptr [edx], al!RR_al_36_edx_bfec3c06!WM_bfec3c06_1_36
804934d!mov byte ptr [edi], cl!RR_cl_a9_edi_bfec3c1b!WM_bfec3c1b_1_a9
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_b!RR_esp_bfec3bb8!WR_edi_b
8049353!add cl, byte ptr [edx]!RM_bfec3c06_1_36!RR_cl_a9_edx_bfec3c06!WR_cl_df
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_b!RR_esp_bfec3bb8!WM_bfec3bb8_2_c
804935a!movzx ecx, cl!RR_cl_df!WR_ecx_df
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3cd9_1_5!RR_ebx_bfec3bfa_ecx_df!WR_edx_5
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0047_1_65!RR_dl_5_esi_90b003c_edi_b!WM_90b0047_1_60
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_c!RR_esp_bfec3bb8!WR_edx_c
